   x_Temporary_Larval_Habitat         ll,,,,,,,,
0                    0.010000 -18.117273,,,,0                    0.010000 -22.355125,,,,0                    0.010000 -16.532196
1                    0.021317 -24.787740,,,,1                    0.021317 -32.274666,,,,1                    0.021317 -10.739598
2                    0.045440 -21.159225,,,,2                    0.045440 -15.042852,,,,2                    0.045440 -18.061040
3                    0.096863 -10.930230,,,,3                    0.096863  -5.708706,,,,3                    0.096863  -7.453737
4                    0.206478 -11.375114,,,,4                    0.206478  -5.527381,,,,4                    0.206478  -5.298840
5                    0.440142 -16.667593,,,,5                    0.440142 -10.602646,,,,5                    0.440142  -9.119610
6                    0.938235 -19.548186,,,,6                    0.938235 -13.010752,,,,6                    0.938235 -13.994541
