year,PfPR,Cases,Severe cases,Pop,agebin,pfpr2to10,cm_cov_U5,itn_coverage,Run_Number
2022,0.4286568353926,3.200478196144,0.7273814082146,13.74794520548,0.25,0.6722237325593,0.6,0,1
2023,0.292001607717,3.961012914777,0.07335209101439,13.63287671233,0.25,0.6145830547756,0.6,0,1
2024,0.2349066959385,5.208562284708,0.06677643954754,14.97534246575,0.25,0.6769210268758,0.6,0,1
2022,0.6240904341218,3.085874391254,0.284316516947,144.2054794521,2.0,0.6722237325593,0.6,0,1
2023,0.4767727399306,4.213564239442,0.1016429970041,108.2219178082,2.0,0.6145830547756,0.6,0,1
2024,0.5579786752046,6.262119799852,0.2094723172486,90.70410958904,2.0,0.6769210268758,0.6,0,1
2022,0.6644747325593,3.33852094668,0.05428489344195,257.898630137,5.0,0.6722237325593,0.6,0,1
2023,0.5477217367986,4.987765136175,0.0285481242463,245.2,5.0,0.6145830547756,0.6,0,1
2024,0.6044568245125,6.270477268845,0.008957824669778,223.2684931507,5.0,0.6769210268758,0.6,0,1
2022,0.6776703378757,3.286839737557,0.03543027909473,366.9178082192,10.0,0.6722237325593,0.6,0,1
2023,0.6589507088202,4.595246007666,0.03247523680329,369.5123287671,10.0,0.6145830547756,0.6,0,1
2024,0.7202985206188,4.903737513814,0.01072441227734,372.9808219178,10.0,0.6769210268758,0.6,0,1
2022,0.6810329197855,3.126041457057,0.01890750881284,317.3342465753,15.0,0.6722237325593,0.6,0,1
2023,0.7017127162488,4.523842377821,0.01891502039507,317.2082191781,15.0,0.6145830547756,0.6,0,1
2024,0.7285684059075,4.64301126916,0.0,323.7123287671,15.0,0.6769210268758,0.6,0,1
2022,0.6742369489075,3.060775448103,0.01352828927338,295.6767123288,20.0,0.6722237325593,0.6,0,1
2023,0.7079599464722,4.278067345731,0.01347422786057,296.8630136986,20.0,0.6145830547756,0.6,0,1
2024,0.7281072113331,4.601434651064,0.01087809610181,275.7835616438,20.0,0.6769210268758,0.6,0,1
2022,0.6779376323669,2.988348672632,0.01368819305208,1388.057534247,100.0,0.6722237325593,0.6,0,1
2023,0.7054968395031,4.240268095164,0.01856009603944,1400.854794521,100.0,0.6145830547756,0.6,0,1
2024,0.7205841728564,4.435801764135,0.00634592527058,1418.232876712,100.0,0.6769210268758,0.6,0,1
2022,0.4475814412636,3.747285246849,0.7926949560642,13.87671232877,0.25,0.6588659251112,0.6,0,2
2023,0.2734823017599,3.897567674518,0.4330630749464,13.85479452055,0.25,0.6127722455351,0.6,0,2
2024,0.2584834520318,6.040008336306,0.1529116034508,13.07945205479,0.25,0.6678524587219,0.6,0,2
2022,0.6117300450705,3.097867530305,0.2563752438873,140.4191780822,2.0,0.6588659251112,0.6,0,2
2023,0.4606785168659,4.549554793164,0.06195891741663,112.9780821918,2.0,0.6127722455351,0.6,0,2
2024,0.559489526812,5.853011417203,0.1770287007093,90.38082191781,2.0,0.6678524587219,0.6,0,2
2022,0.6508782518849,3.33817562554,0.06721158977598,267.8109589041,5.0,0.6588659251112,0.6,0,2
2023,0.5321528327844,5.234502121806,0.01902071991935,262.8712328767,5.0,0.6127722455351,0.6,0,2
2024,0.5982302540065,6.335842406843,0.02559936325997,234.3808219178,5.0,0.6678524587219,0.6,0,2
2022,0.6646112639991,3.284682952333,0.02417182875797,372.3342465753,10.0,0.6588659251112,0.6,0,2
2023,0.6713244366394,4.536632810254,0.0221029613167,361.9424657534,10.0,0.6127722455351,0.6,0,2
2024,0.7113001232794,5.010905439965,0.01597525645047,375.5808219178,10.0,0.6678524587219,0.6,0,2
2022,0.6866249964646,3.207097179256,0.02408763975836,290.6054794521,15.0,0.6588659251112,0.6,0,2
2023,0.7068738502339,4.38666697545,0.02385910553858,293.3890410959,15.0,0.6127722455351,0.6,0,2
2024,0.7144775076323,4.826479685493,0.01342553459108,297.9397260274,15.0,0.6678524587219,0.6,0,2
2022,0.6700811012054,3.05201149662,0.02938157878816,272.2794520548,20.0,0.6588659251112,0.6,0,2
2023,0.7067741163329,4.288378598634,0.02912311442196,274.695890411,20.0,0.6127722455351,0.6,0,2
2024,0.7137884375032,4.603359133936,0.01131046470255,265.2410958904,20.0,0.6678524587219,0.6,0,2
2022,0.6758371516824,3.010245345999,0.02329692692729,1416.495890411,100.0,0.6588659251112,0.6,0,2
2023,0.7089876697119,4.249576378381,0.01066482276656,1406.493150685,100.0,0.6127722455351,0.6,0,2
2024,0.7209503214357,4.443442296179,0.009294408664573,1398.690410959,100.0,0.6678524587219,0.6,0,2
2022,0.4367215749297,2.932904660702,0.7332261651754,13.63835616438,0.25,0.6701096179425,0.6,0,0
2023,0.2218317138722,3.320239752531,0.1509199887514,13.25205479452,0.25,0.6324645028563,0.6,0,0
2024,0.3754789272031,5.856082327664,0.1748084276915,11.44109589041,0.25,0.6752755488517,0.6,0,0
2022,0.6189374691896,3.134977727663,0.2837397060357,144.498630137,2.0,0.6701096179425,0.6,0,0
2023,0.4586459730108,4.633962125517,0.08330718427896,96.0301369863,2.0,0.6324645028563,0.6,0,0
2024,0.5689739017669,6.011347092688,0.1183336041868,84.50684931507,2.0,0.6752755488517,0.6,0,0
2022,0.6611360436995,3.280533830635,0.07904900796711,227.7068493151,5.0,0.6701096179425,0.6,0,0
