year,PfPR,Cases,Severe cases,Pop,agebin,pfpr2to10,cm_cov_U5,rtss_coverage,itn_coverage,smc_coverage,Run_Number
2023,0.5815874797356,3.895487767644,0.01706883637235,527.2767123288,10.0,0.5082972300859,0.6,0,0,0,0
2024,0.6900869091462,4.994420728181,0.007648423779756,522.9835616438,10.0,0.6263000871496,0.6,0,0,0,0
2022,0.6499477724336,3.034573368495,0.01551644527353,451.1342465753,15.0,0.650383920157,0.6,0,0,0,0
2023,0.630319932203,4.03217947064,0.01535650505684,455.8328767123,15.0,0.5082972300859,0.6,0,0,0,0
2024,0.7151302018929,4.830529546831,0.01321019930765,454.1945205479,15.0,0.6263000871496,0.6,0,0,0,0
2022,0.6498751332847,3.005990710575,0.03328609815799,390.5534246575,20.0,0.650383920157,0.6,0,0,0,0
2023,0.6632226048958,3.890197428642,0.01081361342221,369.904109589,20.0,0.5082972300859,0.6,0,0,0,0
2024,0.7164304216162,4.523255894193,0.005512804258615,362.7917808219,20.0,0.6263000871496,0.6,0,0,0,0
2022,0.6568232535386,2.941441072617,0.01664118038025,2223.4,100.0,0.650383920157,0.6,0,0,0,0
2023,0.6671134677922,3.881181765057,0.01213009696221,2225.868493151,100.0,0.5082972300859,0.6,0,0,0,0
2024,0.7121287128713,4.458893509582,0.008989704656415,2224.767123288,100.0,0.6263000871496,0.6,0,0,0,0
2022,0.4583860359221,3.60106240958,0.6001770682633,21.6602739726,0.25,0.6468679262715,0.6,0,0,0,2
2023,0.1381074168798,2.71564745903,0.0,23.56712328767,0.25,0.5050665869148,0.6,0,0,0,2
2024,0.2012506513809,4.260552287102,0.1902032271028,26.28767123288,0.25,0.62475076233,0.6,0,0,0,2
2022,0.5766816496088,2.865127376281,0.239159213379,209.0657534247,2.0,0.6468679262715,0.6,0,0,0,2
2023,0.3208012630748,3.013453090563,0.01800868380815,166.5863013699,2.0,0.5050665869148,0.6,0,0,0,2
2024,0.4613349981107,5.84057571739,0.1439156234264,166.7643835616,2.0,0.62475076233,0.6,0,0,0,2
2022,0.6371140280887,3.151995126856,0.0592770955991,388.0082191781,5.0,0.6468679262715,0.6,0,0,0,2
2023,0.405775781423,4.10267561581,0.007819585036486,383.6520547945,5.0,0.5050665869148,0.6,0,0,0,2
2024,0.5186200612276,6.138425346464,0.008752507623285,342.7589041096,5.0,0.62475076233,0.6,0,0,0,2
2022,0.6536152670115,3.228731675656,0.03209120384417,560.901369863,10.0,0.6468679262715,0.6,0,0,0,2
2023,0.574232060689,4.016316493042,0.01270986231975,550.7534246575,10.0,0.5050665869148,0.6,0,0,0,2
2024,0.6884602466292,5.005373955006,0.008756777388044,570.9863013699,10.0,0.62475076233,0.6,0,0,0,2
2022,0.6541510722233,3.055204281583,0.02076800493523,433.3589041096,15.0,0.6468679262715,0.6,0,0,0,2
2023,0.6350626230998,4.034613169031,0.006912529701367,433.9945205479,15.0,0.5050665869148,0.6,0,0,0,2
2024,0.7062972736376,4.767576077487,0.006896204547957,435.0219178082,15.0,0.62475076233,0.6,0,0,0,2
2022,0.651887790992,3.001893330831,0.02879513986409,416.7369863014,20.0,0.6468679262715,0.6,0,0,0,2
2023,0.678725775857,3.906695262529,0.0,420.304109589,20.0,0.5050665869148,0.6,0,0,0,2
2024,0.7058815450644,4.574248823337,0.01002575084567,398.9726027397,20.0,0.62475076233,0.6,0,0,0,2
2022,0.6562801997123,2.953262100054,0.02516190492315,2146.101369863,100.0,0.6468679262715,0.6,0,0,0,2
2023,0.6721208466243,3.949710155663,0.01476699672639,2166.994520548,100.0,0.5050665869148,0.6,0,0,0,2
2024,0.7127276761961,4.429028494516,0.005062272801297,2172.936986301,100.0,0.62475076233,0.6,0,0,0,2
2022,0.4595644496763,3.695114828646,0.9882283844054,23.27397260274,0.25,0.6588614450186,0.6,0,0,0,1
2023,0.160926455106,2.140923399478,0.219581887126,18.21643835616,0.25,0.499804286714,0.6,0,0,0,1
2024,0.2010287183883,3.911272902042,0.0,19.17534246575,0.25,0.6209511122466,0.6,0,0,0,1
2022,0.5989722714309,3.003718974069,0.2980789821595,218.0630136986,2.0,0.6588614450186,0.6,0,0,0,1
2023,0.3302288922132,3.005999803543,0.02935546683148,170.3260273973,2.0,0.499804286714,0.6,0,0,0,1
2024,0.4332911082053,5.742277042009,0.1491500530392,134.0931506849,2.0,0.6209511122466,0.6,0,0,0,1
2022,0.6542375940685,3.309336151928,0.03800922073424,394.6410958904,5.0,0.6588614450186,0.6,0,0,0,1
2023,0.412240242739,4.063439399004,0.007854586467147,381.9424657534,5.0,0.499804286714,0.6,0,0,0,1
2024,0.5078175970771,6.390434529632,0.01120637357235,356.9397260274,5.0,0.6209511122466,0.6,0,0,0,1
2022,0.6622807242709,3.271693940274,0.02435969142243,533.6684931507,10.0,0.6588614450186,0.6,0,0,0,1
2023,0.5615133025645,3.898740745732,0.01107072620653,541.9698630137,10.0,0.499804286714,0.6,0,0,0,1
2024,0.6952007697306,5.05455630261,0.0183868908789,543.8657534247,10.0,0.6209511122466,0.6,0,0,0,1
2022,0.6624248931941,3.085376219824,0.01667770929635,479.6821917808,15.0,0.6588614450186,0.6,0,0,0,1
2023,0.6311068247707,3.961237025447,0.01060288283043,471.5698630137,15.0,0.499804286714,0.6,0,0,0,1
2024,0.7114912050107,4.718262991402,0.01460116752423,479.4136986301,15.0,0.6209511122466,0.6,0,0,0,1
2022,0.6665055519268,3.104049535934,0.02145656361245,419.4520547945,20.0,0.6588614450186,0.6,0,0,0,1
2023,0.6496510692189,3.977283172309,0.01203778199852,415.3589041096,20.0,0.499804286714,0.6,0,0,0,1
2024,0.7093246799286,4.501349811209,0.01244154176675,401.8794520548,20.0,0.6209511122466,0.6,0,0,0,1
2022,0.6672141901425,2.998641122365,0.02090307499748,2104.953424658,100.0,0.6588614450186,0.6,0,0,0,1
2023,0.6630955744517,3.86513960408,0.008005284267711,2123.597260274,100.0,0.499804286714,0.6,0,0,0,1
2024,0.7121933994852,4.49738105532,0.009806354704779,2141.468493151,100.0,0.6209511122466,0.6,0,0,0,1
